alpha,method,Loss_train_mean,Loss_train_std,Loss_optimal
1.0,GD,0.9312024928590148,0.0,101.89983910473893
1.0,SGD,0.9312194697349435,1.1205973825897109e-05,101.89983910473893
1.0,SVRG,0.931202492859013,1.9229626863835638e-16,101.89983910473893
0.999999,GD,1.0445266352779639,0.0,0.9957030413716946
0.999999,SGD,1.0446001936022185,7.783685037733919e-05,0.9957030413716946
0.999999,SVRG,1.0444529326033418,3.989455087029871e-07,0.9957030413716946
0.99999,GD,0.9867080418751436,0.0,0.90247036876549
0.99999,SGD,0.9868156832716686,2.1149591484518797e-05,0.90247036876549
0.99999,SVRG,0.9853867270829548,3.8074286919923547e-06,0.90247036876549
0.9999,GD,0.9187903178697878,0.0,0.8025157386126254
0.9999,SGD,0.919962543492837,2.9725585116982925e-05,0.8025157386126254
0.9999,SVRG,0.891802420166083,4.8949349635407915e-05,0.8025157386126254
0.999,GD,0.7515672788960829,0.0,0.7064530770265134
0.999,SGD,0.7559855200780449,7.763465956161805e-06,0.7064530770265134
0.999,SVRG,0.7106660225595401,1.4641048082152938e-05,0.7064530770265134
0.99,GD,0.9952840870543876,0.0,0.9770036774932579
0.99,SGD,1.0058960810048327,0.00018366046037092334,0.9770036774932579
0.99,SVRG,0.9770041688407463,1.1507665895822034e-08,0.9770036774932579
0.9,GD,0.6353533230402144,0.0,0.6353358557097779
0.9,SGD,0.6397882447259855,0.00045329667483625866,0.6353358557097779
0.9,SVRG,0.635335855709778,2.220446049250313e-16,0.6353358557097779
0.8,GD,0.8512791271341791,0.0,0.8512791189723271
0.8,SGD,0.8520763202113296,0.00013581861155652236,0.8512791189723271
0.8,SVRG,0.851279118972327,1.9229626863835638e-16,0.8512791189723271
0.7,GD,0.8250691552853123,0.0,0.8250691552513788
0.7,SGD,0.825204777014812,1.1441683980702352e-05,0.8250691552513788
0.7,SVRG,0.8250691552513786,2.026980648162706e-16,0.8250691552513788
0.6,GD,0.6229858153264016,0.0,0.6229858153264016
0.6,SGD,0.6232675154205749,0.000213415545797022,0.6229858153264016
0.6,SVRG,0.6229858153264017,1.2819751242557092e-16,0.6229858153264016
0.5,GD,1.0702040726785504,0.0,1.0702040726785504
0.5,SGD,1.0705030254755121,0.00012634145279629452,1.0702040726785504
0.5,SVRG,1.0702040726785504,2.8665835232995054e-16,1.0702040726785504
